epoch,train_loss,valid_loss
0,0.7209407204047855,0.791225709601022
1,0.6609437272699312,0.7038004325216749
2,0.6477335767527966,0.5661987636883181
3,0.49896704361845795,0.5474996441996158
4,0.5373129094522197,0.5309125247327007
5,0.44568919607525814,0.47916905556408507
6,0.5047729667184548,0.5065451563628589
7,0.4793406484391361,0.4876993988592415
8,0.49806107092590296,0.5007480551304176
9,0.4906084774119384,0.5157609041250351
10,0.4406044823624033,0.5279841461236158
11,0.5093843072094424,0.48535154188577145
12,0.4399510460615366,0.48669486508825577
13,0.4367659302753079,0.5031586587616307
14,0.4715861424454271,0.5280379455900936
15,0.4602397548552869,0.52634243325743
16,0.48344532094261017,0.49383449295148457
