epoch,train_loss,valid_loss
0,0.5699940102005214,0.5040678943673894
1,0.4926579153455027,0.5042316177479669
2,0.4858167005803531,0.5092615972157312
3,0.5306414018613043,0.47476684047479345
4,0.4593581193913878,0.4909522629323081
5,0.4779141214120527,0.5097724443860676
6,0.43634585441977924,0.47175235019701356
7,0.42400061193759797,0.4773526342044562
8,0.4584496689180358,0.49355681510717453
9,0.43201439494294724,0.480310738235405
10,0.4517916140271452,0.48665614745509966
11,0.4429067098114343,0.4737027255614213
12,0.4240327900919134,0.4500886927937763
13,0.4589087940343204,0.46943153865316534
14,0.4460534276299742,0.4642793971034748
15,0.44935472556598066,0.4855906657616768
16,0.43304534049899646,0.48130393346320643
17,0.39258846835453004,0.4814720797750837
