epoch,train_loss,valid_loss
0,8.772008948318705,57.49728378017645
1,11.212125243017383,33.72458314425159
2,7.947975462821434,30.64132307675927
3,10.834731877350434,45.017000325233575
4,9.574833309620946,35.669684979049464
5,8.453222435491705,27.015731974713354
6,7.442522496190534,30.411323171162103
7,8.896543487770414,35.445930809918835
8,9.75128248343712,38.64625115271779
9,12.610782398292281,47.40386710849409
10,13.416177651963702,52.581732289472335
11,15.371406035152482,51.688693144339744
12,14.973783500569134,46.48416220713576
13,10.529485548206077,43.88812656261666
